   1     3.3847942024e+03 31     3.4174494320e+03                  inf
   2     1.6587683547e+03 31    -1.4070095880e+04                  inf
   3     7.1588175305e+03 31    -1.8338957419e+05                  inf
   4     8.7272304759e+04 31    -4.9615802505e+04                  inf
   5    -3.3054281019e+04 31    -1.0457264310e+04                  inf
   6    -1.8152268059e+07 31     8.2051145861e+03                  inf
   7    -1.3917118258e+06 31    -3.1032591045e+04                  inf
   8     3.0263862654e+06 31    -8.0150602029e+03                  inf
   9    -2.0891837035e+06 31     7.2880603525e+03                  inf
  10    -2.1603290567e+05 31     1.2479210763e+03                  inf
  11    -4.2556433237e+06 31     3.8039839982e+04                  inf
  12     2.0713614839e+04 31     1.3324243460e+05                  inf
  13     5.7463227365e+03 31     1.5662374897e+04                  inf
  14     1.7897685493e+06 31    -6.0351511545e+03                  inf
  15    -2.0051023725e+05 31    -2.3691405994e+04                  inf
  16     6.6008847718e+04 31     2.3599821092e+03                  inf
  17     3.2707868407e+05 31    -1.7054651138e+05                  inf
  18     7.2080076637e+03 31    -4.1589962728e+03                  inf
  19     3.1061155800e+07 31     5.4076175124e+03                  inf
  20     2.4202897700e+04 31    -2.9490979193e+03                  inf
  21     1.3572729295e+05 31    -7.6558029019e+03                  inf
  22     1.1124122340e+05 31    -5.6374064920e+03                  inf
  23    -2.3872056476e+06 31     5.4436018437e+03                  inf
  24     3.9470682143e+05 31     2.9089757742e+04                  inf
  25     2.1510440478e+05 31    -8.9588451923e+03                  inf
  26     8.6053661688e+03 31     9.0030748156e+03                  inf
  27     3.9419482298e+04 31    -1.2389501574e+04                  inf
  28    -5.7957200805e+06 31     2.3014890741e+03                  inf
  29    -1.6229888757e+07 31     7.5545472990e+03                  inf
  30    -2.3661347951e+07 31    -1.5332804236e+04                  inf
  31     2.9751047822e+03 31     5.3990092305e+02                  inf
  32    -1.3543255183e+06 31     4.0115373912e+04                  inf
  33    -2.7676657610e+08 31    -2.4032421411e+04                  inf
  34    -2.1069885921e+06 31     3.3539341746e+03                  inf
  35    -1.7797981846e+06 31    -6.9533362728e+04                  inf
  36     3.5904377839e+04 31     5.2119460220e+03                  inf
  37     3.8258620358e+06 31    -1.9783394016e+04                  inf
  38     8.0724228499e+05 31     1.8734853255e+05                  inf
  39     1.0460346566e+04 31     4.3031336213e+03                  inf
  40    -1.6435813120e+06 31     2.6184468144e+03                  inf
  41     7.5115673670e+06 31     7.6621321844e+03                  inf
  42     1.2386439165e+06 31     4.4766326972e+04                  inf
  43     1.0658177113e+06 31    -9.8516667745e+03                  inf
  44    -5.2482650907e+05 31     1.2247391107e+04                  inf
  45     1.2398580011e+04 31    -1.0868254123e+04                  inf
  46    -1.9238326572e+04 31     4.6019542262e+03                  inf
  47    -6.0847165697e+02 31     1.0887265421e+05                  inf
  48     1.5908263428e+05 31    -1.1321930078e+04                  inf
  49     7.2147185869e+05 31     1.5372902908e+04                  inf
  50    -1.8788401420e+03 31     3.3047980388e+03                  inf
  51     3.0262521915e+06 31    -5.7794710432e+04                  inf
  52     5.1774345085e+05 31     5.8177285697e+03                  inf
  53     2.3421602789e+06 31    -1.0840025713e+04                  inf
  54    -5.0785763834e+03 31     1.4463402124e+04                  inf
  55     9.3564142941e+04 31     6.3823999608e+03                  inf
  56     1.6705653217e+05 31    -6.8394454232e+04                  inf
  57    -4.3934616946e+04 31     1.3865899252e+04                  inf
  58    -7.1231494673e+06 31     3.6515995325e+04                  inf
  59    -4.1848443453e+04 31    -2.5306896747e+04                  inf
  60    -6.9610368468e+05 31     5.1061249067e+03                  inf
  61     8.8309530023e+03 31    -5.1196998783e+04                  inf
  62    -3.6638999712e+02 31     5.4791773823e+03                  inf
  63    -3.4506481110e+04 31     1.4978129242e+04                  inf
  64     6.8404601262e+04 31     1.3503361146e+04                  inf
