 13134.9356   7611.2027    2.253                           36.6   Ca I       
 13130.3112   7613.8833     .420   22106  5\2  29720  3\2  29.2   II     
 13128.5033   7614.9318    1.401   30014  4    22399  5    26.5   I      
 13127.9234   7615.2682    9.794   24399  3    16783  4    26.0   I      
 13124.1005   7617.4864     .544   15863  2    23481  1    28.6   I      
 13119.4700   7620.1750     .662   32041  2    24421  3    27.7   I      
 13116.7529   7621.7535     .654   31929  3    24307  2    28.0   I      
 13107.9042   7626.8987     .582   32963  5    25336  6    28.4   I      
 13102.8251   7629.8551     .453   28882  2    21252  2    29.9   I      
 13101.8541   7630.4206     .694   30508  5    22877  5    29.6   I      
 13101.1261   7630.8446     .926   31715  6    24084  6    29.2   I      
 13098.6719   7632.2743     .500   20840  3    13208  2    28.2   III    
 13092.1990   7636.0478     .385                           30.7          
 13086.4246   7639.4172     .353                           42.9          
 13079.5942   7643.4066     .425   27591  5    19948  4    30.4   I      
 13071.8863   7647.9136    1.720                           26.7          
 13070.8313   7648.5309   17.829   18431  3    10783  2    27.4   I      
 13069.4055   7649.3653    3.105   21594  3    13945  3    26.1   I      
 13069.3417   7649.4026     .497   27971  5    20322  5    21.7   I      
 13056.1025   7657.1593     .594   15863  2    23521  3    25.2   I      
 13055.8883   7657.2849    5.234    2869  3    10526  3    26.3   I      
 13049.0282   7661.3105    1.171   28227  4    20566  4    28.0   I      
 13048.1374   7661.8335     .408   31271  5    23609  5    29.7   I      
 13045.3379   7663.4777     .380   18699  2    26363  2    30.1   I      
 13044.1800   7664.1580     .568   21645  4    29310  4    27.6   I      
 13043.4065   7664.6125    2.660    7502  3    15166  3    27.1   I      
 13034.7731   7669.6890     .794    6362  2    14032  2    27.8   I      
 13033.5545   7670.4061    1.521                           38.0   Ca I      
 13031.1258   7671.8357    2.765   31326  4    23655  4    26.8   I      
 13026.2487   7674.7081     .357                           22.1          
 13026.1862   7674.7449   12.874   12847  3    20522  2    26.2   I      
 13016.6485   7680.3684     .999    1521  5\2   9202  7\2  27.9   II     
 13010.4378   7684.0347     .354   29422  1    21738  2    31.5   I      
 13010.1527   7684.2031    1.973   17166  5    24850  6    27.3   I      
 13008.8376   7684.9799     .442   33721  2    26036  3    29.8   I      
 13007.8277   7685.5766    9.576   24032  4    16346  4    26.6   I      
 13006.1631   7686.5602     .493   20158  5\2  12472  5\2  28.5   II     
 13004.2791   7687.6738    2.421   17727 11\2  25414 11\2  27.1   II     
 12994.5253   7693.4442    2.440   29835  3    22141  3    26.4   I      
 12989.5859   7696.3697     .456    9804  5    17501  5    27.0   I      
 12988.1749   7697.2058     .666   30552  4    22855  3    28.7   I      
 12986.9308   7697.9432    3.063   15493  4     7795  4    26.8   I      
 12982.5354   7700.5494     .654   21645  4    13945  3    27.8   I      
 12970.7305   7707.5578     .766   29849  4    22141  3    27.5   I      
 12966.7425   7709.9283     .301   31626  5    23916  4    29.3   I      
 12964.1947   7711.4435     .523   26762  3\2  19050  3\2  28.6   II     
 12963.6926   7711.7422    1.539   28034  5    20322  5    27.1   I      
 12961.1935   7713.2291     .721   28450  1    20737  1    27.9   I      
 12959.8183   7714.0476   29.667   11802  2    19516  2    26.2   I      
 12952.0835   7718.6543   11.677   12847  3    20566  4    26.6   I      
 12949.0398   7720.4686     .365   16554  6    24274  5    30.0   I      
 12940.9639   7725.2866     .366                           31.5          
 12940.6640   7725.4656    8.259    1859  3\2   9585  5\2  26.0   II     
 12939.5676   7726.1202     .604   28450  1    20724  0    29.0   I      
 12938.9436   7726.4928     .639   15970  3     8243  2    27.4   I      
 12937.9831   7727.0664     .339   39010  3    31283  3    33.7   I      
 12936.8363   7727.7514     .426   19532  4    27260  3    26.9   I      
 12935.2287   7728.7118    2.433   26111  1    18382  0    27.4   I      
 12933.5514   7729.7141    3.398   12219  3\2   4490  5\2  26.4   II     
 12932.1061   7730.5780     .830   17959  4    25690  5    27.7   I      
 12930.4164   7731.5882     .314   33068  6    25336  6    31.1   I      
 12925.8914   7734.2948    1.180   29873  7\2  22139  9\2  26.7   II     
 12921.0264   7737.2069    1.289   34460  5    26723  6    27.5   I      
 12919.2910   7738.2462    3.674   32012  4    24274  5    26.2   I      
 12916.9778   7739.6320    2.610   15863  2    23603  2    26.1   I      
 12915.2134   7740.6893     .742   18863  2    11123  1    28.3   III    
 12909.0773   7744.3687     .801                           41.7   Ca I       
 12901.9250   7748.6619     .320    9711  7\2  17460  5\2  29.3   II     
 12900.2441   7749.6715    1.297   27566  2    19817  1    26.7   I      
 12898.8592   7750.5036    6.333   28273  2    20522  2    26.6   I      
 12888.1871   7756.9214     .863   26796  3    19039  2    27.0   I      
 12873.5275   7765.7545     .475   27980  3    20214  3    28.0   I      
 12872.7076   7766.2491    1.643   18549  2    10783  2    26.4   I      
 12866.8049   7769.8119     .761   28934  3    21165  3    17.6   I      
 12866.6415   7769.9106   38.146   26997  6    19227  6    26.2   I      
 12861.6447   7772.9292    8.056   23990  2    16217  2    26.1   I      
 12854.0957   7777.4941     .360   33099  3    25321  3    27.4   I      
 12845.6814   7782.5886     .320   15970  3    23752  2    28.9   I      
 12841.7471   7784.9729     .716   19532  4    27317  3    28.1   I      
 12837.8934   7787.3098    1.163   23277  5    15490  5    27.2   I      
 12836.5352   7788.1338     .361   19273  2    27061  2    27.6   I      
 12834.7311   7789.2285     .966   21143  5    28932  4    26.8   I      
 12830.5421   7791.7716    1.924   28358  3    20566  4    26.9   I      
 12828.3785   7793.0857     .307   31995  4    24202  4    28.9   I      
 12826.8034   7794.0427    2.381   17959  4    25753  5    26.8   I      
 12818.4658   7799.1122     .357                           39.4          
 12818.3779   7799.1657     .326                           31.9          
 12818.2812   7799.2245     .418                           46.8          
 12818.1713   7799.2914     .336                           34.4          
 12818.1108   7799.3282     .343                           55.1          
 12818.0682   7799.3541     .354                           29.8          
 12818.0048   7799.3927     .337                           32.3          
 12817.8286   7799.4999     .403                           62.9          
 12817.7507   7799.5473     .364                           56.6          
 12817.6175   7799.6284     .319                           30.8          
 12816.0380   7800.5896     .376                           46.7   Ca I       
 12799.9513   7810.3932     .930   32012  4    24202  4    28.8   I      
 12782.2879   7821.1861     .400   13847  2    21668  1    29.7   I      
 12782.0537   7821.3294     .806   25890  2    18069  3    28.3   I      
 12781.5757   7821.6219    6.249   22988  2    15166  3    26.5   I      
 12776.7803   7824.5575     .311   21594  3    29419  2    34.5   I      
 12773.1836   7826.7608     .401   27343  3    19516  2    26.7   I      
 12762.0955   7833.5609   15.154   13088  3    20922  2    26.6   I      
 12760.1348   7834.7646     .318   32396  2    24561  3    33.7   I      
 12756.3543   7837.0865     .448   33527  4    25690  5    28.9   I      
 12755.6808   7837.5003     .654                          107.7          
 12752.7165   7839.3221     .582                          113.7          
 12750.6416   7840.5978     .363   27343  3    19503  3    37.5   I      
 12743.5041   7844.9892     .971   29097  1    21252  2    27.9   I      
 12733.5761   7851.1057    2.336   30964  3    23113  4    26.6   I      
 12722.9072   7857.6893    1.313   30971  4    23113  4    26.9   I      
 12722.6944   7857.8207    2.589      63  2     7921  1    26.9   III    
 12720.7961   7858.9933     .565   34943  6    27084  6    29.5   I      
 12710.2416   7865.5194     .422                           29.8          
 12709.8182   7865.7814    4.321   26796  3    18930  3    26.1   I      
 12709.3275   7866.0851    7.033   23032  4    15166  3    26.8   I      
 12703.4193   7869.7435     .362   30011  3    22141  3    27.5   I      
 12691.4165   7877.1862    2.635   15863  2    23741  1    26.7   I      
 12690.0422   7878.0393     .752   33214  5    25336  6    28.1   I      
 12685.4653   7880.8817     .538   24664  3    16783  4    27.9   I      
 12684.8079   7881.2901     .986   13250  5\2  21131  3\2  28.2   II     
 12683.5510   7882.0711    1.419                           99.6          
 12683.5200   7882.0904    1.430                           69.1        
 12683.2142   7882.2804     .793    7828  1\2  15710  3\2  28.9   II     
 12680.9372   7883.6958     .414   30132  2    22248  2    26.9   I      
 12673.9511   7888.0414    1.087   33068  6    25180  7    26.8   I      
 12670.9403   7889.9157     .938                           28.0          
 12670.3545   7890.2805     .304   13847  2    21738  2    28.5   I      
 12668.7659   7891.2699     .615   22098  4    14206  4    27.9   I      
 12651.1813   7902.2384     .318                           38.2          
