,ref_lambda,lower,upper,click_selected
54,3014.925512,3014.8652134897598,3014.9858105102394,False
55,3015.725173,3015.6648584965396,3015.7854875034595,False
56,3015.968893,3015.90857362214,3016.02921237786,False
57,3016.256781,3016.19645586438,3016.3171061356197,False
58,3016.328853,3016.26852642294,3016.3891795770596,False
59,3017.132195,3017.0718523561,3017.1925376439,False
60,3017.614003,3017.55365071994,3017.67435528006,False
61,3018.008924,3017.94856382152,3018.06928417848,False
62,3018.489954,3018.42958420092,3018.5503237990797,False
63,3019.421907,3019.36151856186,3019.4822954381398,False
64,3019.619262,3019.55886961476,3019.6796543852397,False
65,3019.889984,3019.8295862003197,3019.9503817996797,False
66,3020.638989,3020.57857622022,3020.6994017797797,False
67,3021.05516,3020.9947388968,3021.1155811031995,False
68,3021.488943,3021.42851322114,3021.5493727788594,False
69,3022.095577,3022.03513508846,3022.15601891154,False
70,3022.399618,3022.33917000764,3022.4600659923594,False
71,3023.436809,3023.3763402638197,3023.4972777361795,False
72,3024.668861,3024.60836762278,3024.72935437722,False
73,3024.71392,3024.6534257216,3024.7744142784,False
74,3025.130437,3025.0699343912597,3025.1909396087394,False
75,3025.390638,3025.33013018724,3025.4511458127595,False
76,3025.44878,3025.3882710244,3025.5092889755997,False
77,3025.647395,3025.5868820521,3025.7079079479,False
78,3026.150688,3026.0901649862403,3026.21121101376,False
79,3026.575114,3026.5145824977203,3026.63564550228,False
80,3026.745458,3026.6849230908397,3026.8059929091596,False
81,3027.214694,3027.15414970612,3027.2752382938793,False
82,3027.227986,3027.1674414402796,3027.2885305597197,False
83,3027.762847,3027.70229174306,3027.8234022569395,False
84,3027.895416,3027.83485809168,3027.9559739083197,False
85,3028.024093,3027.96353251814,3028.0846534818597,False
86,3028.123379,3028.06281653242,3028.1839414675796,False
87,3028.577223,3028.51665145554,3028.6377945444597,False
88,3028.831217,3028.7706403756597,3028.8917936243397,False
89,3028.913995,3028.8534167200996,3028.9745732798997,False
90,3028.932707,3028.87212834586,3028.9932856541395,False
91,3029.132667,3029.0720843466597,3029.1932496533395,False
92,3030.487759,3030.42714924482,3030.54836875518,False
93,3030.590333,3030.5297211933403,3030.65094480666,False
94,3030.864763,3030.8041457047398,3030.92538029526,False
95,3031.196327,3031.1357030734603,3031.25695092654,False
96,3031.289069,3031.2284432186198,3031.3496947813796,False
97,3031.340617,3031.2799901876597,3031.4012438123395,False
98,3031.699601,3031.6389670079798,3031.7602349920194,False
99,3031.95514,3031.8945008972,3032.0157791027996,False
100,3032.016689,3031.95604866622,3032.0773293337797,False
101,3033.303775,3033.2431089244997,3033.3644410754996,False
102,3033.508059,3033.4473888388197,3033.5687291611794,False
103,3035.110311,3035.04960879378,3035.1710132062194,False
104,3035.763395,3035.7026797321,3035.8241102679,False
105,3037.76623,3037.7054746754,3037.8269853245997,False
106,3038.824635,3038.7638585073,3038.8854114927,False
107,3039.668854,3039.6080606229198,3039.72964737708,False
108,3040.049774,3039.98897300452,3040.11057499548,False
109,3043.065282,3043.00442069436,3043.1261433056397,False
110,3043.248902,3043.1880370219596,3043.3097669780395,False
111,3046.951282,3046.89034297436,3047.0122210256395,False
112,3048.233093,3048.17212833814,3048.2940576618594,False
113,3049.092387,3049.03140515226,3049.15336884774,False
114,3049.862412,3049.8014147517597,3049.9234092482398,False
115,3050.815888,3050.75487168224,3050.87690431776,False
116,3050.984837,3050.92381730326,3051.0458566967395,False
117,3051.792888,3051.73185214224,3051.8539238577596,False
118,3056.844532,3056.78339510936,3056.90566889064,False
119,3058.426284,3058.36511547432,3058.48745252568,False
120,3060.438957,3060.3777482208598,3060.5001657791395,False
121,3060.905473,3060.8442548905396,3060.9666911094596,False
122,3061.699827,3061.63859300346,3061.7610609965395,False
123,3065.329163,3065.26785641674,3065.39046958326,False
124,3065.683758,3065.62244432484,3065.74507167516,False
125,3065.930013,3065.86869439974,3065.99133160026,False
126,3066.412051,3066.35072275898,3066.4733792410193,False
127,3067.729409,3067.66805441182,3067.7907635881797,False
128,3070.816328,3070.75491167344,3070.8777443265594,False
129,3072.115012,3072.05356969976,3072.17645430024,False
130,3072.825235,3072.7637784953,3072.8866915046997,False
131,3073.80395,3073.742473921,3073.865426079,False
132,3075.056529,3074.99502786942,3075.11803013058,False
133,3075.840368,3075.77885119264,3075.9018848073597,False
134,3076.409188,3076.34765981624,3076.47071618376,False
135,3077.339066,3077.27751921868,3077.4006127813195,False
136,3077.717166,3077.65561165668,3077.7787203433195,False
137,3077.931848,3077.8702893630402,3077.99340663696,False
138,3079.88746,3079.8258622507997,3079.9490577491997,False
139,3080.217043,3080.15543865914,3080.2786473408596,False
140,3081.981001,3081.91936137998,3082.04264062002,False
141,3082.504712,3082.44306190576,3082.5663620942396,False
142,3085.472334,3085.41062455332,3085.53404344668,False
143,3086.56672,3086.5049886655997,3086.6284513343994,False
144,3093.401536,3093.3396679692796,3093.4634040307196,False
145,3096.841171,3096.77923417658,3096.9031078234198,False
146,3097.974304,3097.91234451392,3098.0362634860794,False
147,3098.726877,3098.66490246246,3098.78885153754,False
148,3100.797215,3100.7351990557,3100.8592309442997,False
149,3100.938252,3100.8762332349597,3101.0002707650397,False
150,3101.68984,3101.6278062031997,3101.7518737968,False
151,3107.026136,3106.9639954772797,3107.0882765227198,False
152,3107.346774,3107.28462706452,3107.4089209354797,False
153,3108.296793,3108.23462706414,3108.35895893586,False
154,3110.020904,3109.95870358192,3110.0831044180795,False
155,3111.280689,3111.2184633862203,3111.34291461378,False
156,3112.089063,3112.0268212187398,3112.1513047812596,False
157,3116.479185,3116.4168554163,3116.5415145837,False
158,3117.68401,3117.6216563198,3117.7463636801995,False
159,3120.880842,3120.81842438316,3120.94325961684,False
160,3123.158077,3123.09561383846,3123.2205401615397,False
161,3124.387391,3124.3249032521803,3124.44987874782,False
162,3125.209127,3125.14662281746,3125.2716311825397,False
163,3126.053162,3125.99064093676,3126.11568306324,False
164,3127.208241,3127.14569683518,3127.2707851648197,False
165,3129.974056,3129.9114565188797,3130.03665548112,False
166,3133.619655,3133.5569826069,3133.6823273930995,False
167,3134.425744,3134.36305548512,3134.48843251488,False
168,3134.623002,3134.5603095399597,3134.6856944600395,False
169,3135.533583,3135.4708723283397,3135.5962936716596,False
170,3136.216082,3136.15335767836,3136.2788063216394,False
171,3137.63262,3137.5698673476,3137.6953726524,False
172,3139.017198,3138.95441765604,3139.0799783439597,False
173,3140.272028,3140.2092225594397,3140.3348334405596,False
174,3141.847238,3141.78440105524,3141.9100749447593,False
175,3142.835605,3142.7727482879,3142.8984617121,False
176,3145.636991,3145.5740782601797,3145.6999037398195,False
177,3146.043368,3145.98044713264,3146.10628886736,False
178,3147.448606,3147.38565702788,3147.5115549721195,False
179,3151.017008,3150.9539876598396,3151.0800283401595,False
180,3153.218199,3153.1551346360197,3153.2812633639796,False
181,3155.830181,3155.7670643963797,3155.8932976036194,False
182,3156.400648,3156.3375199870397,3156.4637760129594,False
183,3157.507067,3157.44391685866,3157.5702171413395,False
184,3159.707222,3159.64402785556,3159.77041614444,False
185,3160.823743,3160.76052652514,3160.88695947486,False
186,3161.688137,3161.6249032372602,3161.75137076274,False
187,3162.029026,3161.96578541948,3162.0922665805197,False
188,3163.094967,3163.03170510066,3163.1582288993395,False
189,3163.715241,3163.65196669518,3163.7785153048194,False
190,3165.291051,3165.22774517898,3165.35435682102,False
191,3169.328492,3169.26510543016,3169.3918785698397,False
192,3169.668007,3169.60461363986,3169.73140036014,False
193,3169.816692,3169.75329566616,3169.8800883338395,False
194,3171.275477,3171.21205149046,3171.33890250954,False
195,3171.509864,3171.44643380272,3171.5732941972797,False
196,3172.111202,3172.04775977596,3172.1746442240396,False
197,3173.426654,3173.3631854669197,3173.4901225330796,False
198,3174.019111,3173.95563061778,3174.0825913822196,False
199,3174.20434,3174.1408559131996,3174.2678240867995,False
200,3175.725737,3175.6622224852604,3175.78925151474,False
201,3176.16708,3176.1035566584,3176.2306033416,False
202,3178.243304,3178.17973913392,3178.3068688660796,False
203,3179.048191,3178.9846100361797,3179.1117719638196,False
204,3180.193754,3180.13015012492,3180.25735787508,False
205,3181.037112,3180.97349125776,3181.10073274224,False
206,3181.189288,3181.12566421424,3181.25291178576,False
207,3182.405455,3182.3418068909,3182.4691031090997,False
208,3182.642528,3182.5788751494397,3182.7061808505596,False
209,3184.27684,3184.2131544631998,3184.3405255367998,False
210,3184.614959,3184.5512667008197,3184.67865129918,False
211,3184.949173,3184.88547401654,3185.0128719834597,False
212,3186.171701,3186.10797756598,3186.23542443402,False
213,3190.896169,3190.83235107662,3190.95998692338,False
214,3191.093121,3191.02929913758,3191.15694286242,False
215,3191.616786,3191.55295366428,3191.68061833572,False
216,3193.159769,3193.0959058046196,3193.2236321953797,False
217,3193.780994,3193.71711838012,3193.84486961988,False
218,3195.313946,3195.25003972108,3195.37785227892,False
219,3195.689137,3195.6252232172596,3195.7530507827396,False
220,3198.229104,3198.16513941792,3198.2930685820797,False
221,3204.320885,3204.2567985823002,3204.3849714177,False
222,3205.288757,3205.22465122486,3205.3528627751393,False
223,3207.581032,3207.51688037936,3207.6451836206397,False
224,3207.782509,3207.71835334982,3207.8466646501797,False
225,3209.750241,3209.68604599518,3209.81443600482,False
226,3210.308825,3210.2446188235,3210.3730311765,False
227,3210.777756,3210.71354044488,3210.8419715551195,False
228,3211.194319,3211.13009511362,3211.25854288638,False
229,3212.518078,3212.45382763844,3212.5823283615596,False
230,3214.074664,3214.0103825067204,3214.13894549328,False
231,3216.997913,3216.93357304174,3217.0622529582597,False
232,3220.350851,3220.28644398298,3220.41525801702,False
233,3222.397889,3222.33344104222,3222.4623369577794,False
234,3225.411053,3225.34654477894,3225.4755612210597,False
235,3226.119007,3226.0544846198595,3226.1835293801396,False
